"","7","8","9","10","11","12"
"1",268,252,232,239,199,196
"5",251,236,223,185,167,201
"6",119,131,128,117,118,114
"7",102,115,84,88,55,86
"9",180,160,155,134,110,134
"10",232,244,205,187,217,223
"13",245,252,251,241,206,224
"14",290,343,316,295,308,335
"17",285,282,258,281,245,256
"18",380,356,370,409,325,422
"19",383,358,401,394,354,404
"20",147,139,173,184,138,146
"22",41,48,40,52,50,38
"23",107,95,109,124,103,112
"24",95,82,99,106,82,92
"25",153,150,152,170,125,134
"26",71,70,68,76,72,48
"28",63,75,74,57,49,59
"30",78,66,58,87,52,58
"32",107,96,85,62,63,83
"33",112,111,104,104,90,121
"34",141,138,140,103,93,102
"40",149,143,143,138,125,130
"41",120,112,100,94,104,124
"42",66,93,74,103,80,84
"43",174,142,163,138,150,150
"44",170,146,141,172,120,147
"45",176,159,157,146,128,174
"46",119,120,106,104,94,119
"47",268,283,232,236,228,254
"48",111,143,137,114,113,134
"49",139,148,157,186,158,161
"50",100,114,93,112,107,101
"52",157,183,182,202,131,168
"60",141,146,110,115,122,126
"61",247,245,261,268,289,288
"62",216,202,194,225,217,228
"63",202,202,208,188,214,214
"66",198,194,196,205,239,236
"67",283,242,257,224,227,289
"68",178,167,176,173,183,240
"69",132,122,112,125,122,173
"70",228,221,216,212,210,267
"71",171,172,179,169,150,171
"72",255,234,195,237,244,222
"73",164,159,155,166,141,167
"75",344,381,349,329,321,308
"76",66,116,106,98,118,96
"77",142,131,138,151,106,138
"78",155,174,161,158,152,187
"79",165,144,146,149,153,122
"81",91,105,92,96,74,80
"83",120,157,153,132,117,137
"84",200,209,200,201,200,195
"88",109,109,105,125,95,110
"90",200,212,185,244,200,186
"94",152,169,132,142,126,160
"100",46,37,42,33,80,52
"101",65,58,50,46,55,59
"102",255,225,220,210,233,247
"103",186,174,183,184,151,219
"104",257,259,260,303,278,298
"105",430,455,431,427,384,454
"106",224,222,201,200,246,238
"107",209,238,252,248,245,238
"108",288,277,300,277,331,327
"109",407,427,401,400,361,370
"110",231,238,216,231,284,266
"111",284,225,293,281,218,254
"112",209,184,174,159,183,194
"113",203,210,199,229,214,204
"114",307,308,283,306,295,308
"115",265,237,263,251,221,224
"120",213,224,192,234,212,232
"121",245,296,288,299,269,309
"122",278,270,273,278,289,281
"123",122,161,139,120,141,130
