"","0","1"
"1",2190,554
"5",1595,679
"6",1006,439
"7",738,295
"9",1007,473
"10",2017,663
"13",2248,774
"14",2937,922
"17",2504,665
"18",3328,1045
"19",3850,1038
"20",1269,400
"22",372,106
"23",1063,307
"24",808,231
"25",1292,407
"26",658,189
"28",641,201
"30",555,217
"32",788,282
"33",968,281
"34",1032,464
"40",1318,400
"41",1129,292
"42",876,271
"43",1390,536
"44",1189,414
"45",1359,506
"46",1106,409
"47",2161,853
"48",1174,397
"49",1349,466
"50",953,330
"52",1649,571
"60",1221,387
"61",2365,701
"62",1838,659
"63",1653,645
"66",2289,547
"67",2117,897
"68",1774,592
"69",1095,468
"70",2136,605
"71",1621,551
"72",2077,544
"73",1362,525
"75",3110,1269
"76",946,289
"77",1279,463
"78",1445,459
"79",1470,440
"81",784,325
"83",1305,460
"84",1961,531
"88",923,257
"90",2267,545
"94",1506,477
"100",377,122
"101",548,162
"102",2272,850
"103",2101,599
"104",2460,859
"105",4059,1398
"106",2035,826
"107",2472,641
"108",3342,918
"109",3885,1271
"110",2006,796
"111",2416,794
"112",1829,553
"113",2023,787
"114",2634,1012
"115",2111,930
"120",2010,571
"121",477,158
"122",2327,649
"123",1130,417
